Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
Calumet River,45.0,1149.2666666666667,0.0,0.0,0.0,0.0,0.0,0.24120372480280453,121.0,43.0,0.03870761356365963,0.013755598208573257,0.7208121827411168,3126.0,0.014395393474088292,18256.0,0.008545385491834409,1,0.17122035495179666,0.7271565622261176,0.09820238277826468
Brainerd,41.0,1110.1707317073171,0.0,0.0,0.0,0.0,0.0,0.19533733154841587,98.0,33.0,0.0579538734476641,0.019515079834417505,0.8324873096446701,1691.0,0.02424600827912478,11205.0,0.007785795670338018,1,0.9679578937974119,0.019367666220437306,0.004553270861222669
Burnside,37.0,1046.1351351351352,0.0,0.0,0.0,0.0,0.0,0.24433049512878685,91.0,24.0,0.051354401805869074,0.013544018058690745,0.7157360406091371,1772.0,0.0208803611738149,7493.0,0.007026205848841625,1,0.9738359001734953,0.013343533965034031,0.0033377018550647276
Bronzeville,37.0,1398.2162162162163,19.0,27.0,0.5135135135135135,0.7297297297297297,0.0,0.23888650638783548,408.0,148.0,0.04216618437370814,0.015295576684580404,0.7563451776649747,9676.0,0.003823894171145101,27161.0,0.007026205848841625,1,0.7563405802437321,0.03504932439895438,0.11383224844446081
Homan Square,34.0,1253.9117647058824,5.0,31.0,0.14705882352941177,0.9117647058823529,0.0,0.39431029045643157,85.0,28.0,0.06282335550628233,0.020694752402069475,0.8426395939086294,1353.0,0.025129342202512936,4820.0,0.006456513482719331,1,0.9325629875518672,0.020340394190871365,0.03360485477178424
The Robert Taylor Homes,33.0,1319.5151515151515,19.0,33.0,0.5757575757575758,1.0,0.0,0.4057706824412062,147.0,57.0,0.06086956521739131,0.02360248447204969,0.883248730964467,2415.0,0.013664596273291925,6931.0,0.006266616027345234,1,0.8710229259847064,0.03593586784013851,0.0359221613042851
West Rogers Park,33.0,1455.090909090909,0.0,5.0,0.0,0.15151515151515152,0.0,0.2052395560543709,453.0,158.0,0.03373045420699926,0.011764705882352941,0.6649746192893401,13430.0,0.0024571854058078927,72171.0,0.006266616027345234,1,0.1572703232600352,0.19557996148037302,0.40135805933131036
Lithuanian Plaza,32.0,1044.125,0.0,0.0,0.0,0.0,2.0,0.2646808517156862,48.0,20.0,0.06233766233766234,0.025974025974025976,0.9137055837563451,770.0,0.04155844155844156,3264.0,0.0060767185719711354,1,0.8256973345588235,0.04317530637254902,0.03491657475490196
Hegewisch,31.0,1297.5806451612902,0.0,0.0,0.0,0.0,0.0,0.19827115821347466,54.0,14.0,0.0380818053596615,0.009873060648801129,0.5989847715736041,1418.0,0.021861777150916785,11889.0,0.005886821116597038,1,0.7262325426865168,0.1607326856758348,0.09949412061569518
Morgan Park,29.0,1342.7586206896551,0.0,0.0,0.0,0.0,2.0,0.19632153287825108,71.0,10.0,0.04399008674101611,0.006195786864931847,0.4263959390862944,1614.0,0.017967781908302356,11573.0,0.005507026205848841,1,0.7787911518188888,0.019002531754946858,0.1724780869264668
Marynook,24.0,1138.7916666666667,0.0,0.0,0.0,0.0,0.0,0.2660166083916084,64.0,26.0,0.10613598673300166,0.04311774461028192,0.9847715736040609,603.0,0.03980099502487562,3432.0,0.004557538928978352,1,0.9551201048951049,0.009915034965034965,0.005827447552447553
Longwood Manor,21.0,1151.5714285714287,0.0,2.0,0.0,0.09523809523809523,0.0,0.1297331011908907,183.0,64.0,0.09113545816733068,0.03187250996015936,0.9593908629441624,2008.0,0.01045816733067729,14359.0,0.0039878465628560575,1,0.8407923044780276,0.0318946932237621,0.09464622188174662
Fuller Park,19.0,1132.6842105263158,1.0,6.0,0.05263157894736842,0.3157894736842105,0.0,0.18983769305540554,89.0,29.0,0.039874551971326166,0.012992831541218637,0.7055837563451777,2232.0,0.008512544802867384,9259.0,0.0036080516521078618,1,0.44680817582892324,0.16805160384490767,0.29410228966411056
North Kenwood,18.0,1309.5,0.0,0.0,0.0,0.0,0.0,0.3629693198263386,91.0,28.0,0.03775933609958506,0.011618257261410789,0.6598984771573604,2410.0,0.007468879668049793,5528.0,0.003418154196733764,1,0.8746603111432706,0.01321226483357453,0.07182425832127352
Washington Heights,17.0,1436.764705882353,0.0,0.0,0.0,0.0,0.0,0.15289233964772347,40.0,11.0,0.036133694670280034,0.00993676603432701,0.6040609137055838,1107.0,0.015356820234869015,12036.0,0.0032282567413596656,1,0.9495720006646726,0.01645459454968428,0.02383942339647723
Cragin,16.0,1330.9375,0.0,0.0,0.0,0.0,0.0,0.18452943958551196,217.0,71.0,0.028560147407212425,0.009344564359041853,0.5786802030456852,7598.0,0.0021058173203474598,42076.0,0.0030383592859855677,1,0.019472563931932692,0.7543626176442626,0.1901267111892766
