,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
1110,4601983,0,0,0,2
1111,4601989,0,0,0,0
1112,4602143,0,0,0,0
1113,4602148,0,0,0,0
1114,4602236,0,0,2,4
1115,4602364,0,0,2,6
1116,4602435,2,2,2,6
1117,4602476,0,0,0,0
1118,4602755,0,0,4,10
1119,4602773,0,0,0,4
1120,4602809,0,0,0,0
1121,4602819,0,0,0,0
1122,4602822,0,0,4,6
1123,4602887,0,2,4,10
1124,4602890,0,2,4,4
1125,4602900,0,0,0,0
1126,4603105,0,0,0,4
1127,4603141,0,0,2,2
1128,4603533,0,0,0,0
1129,4603542,2,4,4,8
1130,4603649,0,0,8,12
1131,4603651,0,0,0,0
1132,4603653,2,4,4,8
1133,4603655,2,4,4,8
1134,4603899,2,2,4,8
1135,4603916,0,0,4,6
1136,4603987,0,0,0,0
1137,4604066,0,0,0,0
1138,4604075,0,0,0,0
1139,4604156,0,0,0,0
1140,4604236,2,2,2,8
1141,4604401,0,0,0,0
1142,4604475,0,0,4,6
1143,4604524,0,0,0,0
1144,4604528,0,0,0,0
1145,4604530,0,0,0,0
1146,4604534,0,0,0,0
1147,4604537,0,0,0,0
1148,4604541,0,0,6,8
1149,4604544,0,0,0,0
1150,4604546,0,0,0,0
1151,4604547,0,0,0,0
1152,4604804,0,2,6,8
1153,4604836,2,4,8,12
1154,4604990,0,0,0,0
1155,4605110,2,2,6,6
1156,4605114,2,4,4,8
1157,4605198,0,0,0,4
1158,4605263,0,0,0,0
1159,4605321,0,0,0,0
1160,4605342,0,0,0,0
1161,4605343,0,0,0,0
1162,4605348,0,0,0,0
1163,4605369,0,0,2,4
1164,4605399,0,0,2,4
1165,4605463,0,0,0,0
1166,4605732,0,0,0,0
1167,4605821,0,4,4,4
1168,4605840,0,4,4,4
1169,4605842,0,0,2,4
1170,4605927,0,0,0,0
1171,4606093,0,0,0,0
1172,4606305,0,0,0,4
1173,4606306,0,2,2,2
1174,4606307,0,4,4,8
1175,4606308,0,0,0,0
1176,4606309,2,2,6,8
1177,4606310,0,2,4,8
1178,4606671,0,0,0,0
1179,4606738,0,0,0,2
1180,4606812,0,0,0,0
1181,4606855,0,2,6,8
1182,4606897,0,0,0,0
1183,4607002,0,0,0,0
1184,4607006,0,2,6,8
1185,4607007,0,0,0,2
1186,4607017,0,0,2,8
1187,4607020,0,0,0,0
1188,4607139,0,0,0,0
1189,4607152,0,2,2,2
1190,4607155,0,0,0,4
1191,4607175,0,0,6,10
1192,4607178,0,2,6,8
1193,4607273,0,4,4,4
1194,4607296,2,2,2,8
1195,4607414,0,0,2,4
1196,4607458,0,0,0,0
1197,4607729,2,4,4,8
1198,4607775,0,0,0,0
1199,4607786,0,0,0,2
1200,4607787,0,0,0,2
1201,4607952,0,0,0,2
1202,4607970,0,0,0,0
1203,4608002,0,0,0,2
1204,4608132,0,0,2,4
1205,4608158,0,4,4,6
1206,4608309,0,0,0,0
