Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
Jefferson Park,2.0,1437.5,1.0,1.0,0.5,0.5,0.0,0.09176718076976519,116.0,37.0,0.017890191239975324,0.005706354102405923,0.38461538461538464,6484.0,0.00030845157310302283,43182.0,0.00037979491074819596,0,0.012363637626788939,0.241113762678894,0.6430129289981938
Kelvin Park,2.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.2132103166056429,24.0,10.0,0.02502606882168926,0.010427528675703858,0.6298076923076923,959.0,0.0020855057351407717,4643.0,0.00037979491074819596,0,0.01962866681025199,0.854202627611458,0.08934484169717853
Roscoe Village,2.0,1925.0,0.0,0.0,0.0,0.0,0.0,0.03105033534540577,33.0,5.0,0.010617760617760617,0.0016087516087516086,0.11057692307692307,3108.0,0.0006435006435006435,11928.0,0.00037979491074819596,0,0.019116037894030852,0.10672741448692154,0.8051502598926895
Ida B. Wells - Darrow Homes,2.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.5307275795564127,116.0,40.0,0.06025974025974026,0.02077922077922078,0.8509615384615384,1925.0,0.001038961038961039,4148.0,0.00037979491074819596,0,0.9640780617164899,0.0,0.01880964320154291
Ravenswood,2.0,1850.0,1.0,2.0,0.5,1.0,0.0,0.049624229859974535,54.0,24.0,0.006109288381038579,0.0027152392804615905,0.18269230769230768,8839.0,0.00022626994003846588,27495.0,0.00037979491074819596,0,0.037512122204037095,0.17318795781051102,0.6749657974177123
Vittum Park,2.0,872.5,0.0,0.0,0.0,0.0,0.0,0.12523177518085699,14.0,1.0,0.0457516339869281,0.0032679738562091504,0.24519230769230768,306.0,0.006535947712418301,3594.0,0.00037979491074819596,0,0.025587145242070116,0.6533259321090706,0.27933316638842515
Cottage Grove Heights,2.0,1437.5,0.0,0.0,0.0,0.0,0.0,0.17403578947368417,5.0,1.0,0.033783783783783786,0.006756756756756757,0.4423076923076923,148.0,0.013513513513513514,1710.0,0.00037979491074819596,0,0.9602343859649123,0.009946140350877193,0.01578842105263158
East Hyde Park,2.0,900.0,0.0,0.0,0.0,0.0,0.0,0.10939324482054273,74.0,26.0,0.02565880721220527,0.009015256588072122,0.5913461538461539,2884.0,0.0006934812760055479,6854.0,0.00037979491074819596,0,0.3799256492559088,0.09715876860227604,0.4118670411438576
West Lawn,2.0,1077.5,0.0,0.0,0.0,0.0,0.0,0.12757424182414848,74.0,16.0,0.027550260610573342,0.005956813104988831,0.40865384615384615,2686.0,0.0007446016381236039,35348.0,0.00037979491074819596,0,0.02263267511598959,0.8175689232771305,0.15178145863980988
Douglas Park,2.0,1700.0,0.0,1.0,0.0,0.5,0.0,0.29068384840965483,24.0,5.0,0.02528977871443625,0.005268703898840885,0.3557692307692308,949.0,0.002107481559536354,4433.0,0.00037979491074819596,0,0.23144216106474175,0.6679666365892173,0.09407676517031356
East Beverly,2.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.06058182908545727,27.0,3.0,0.03609625668449198,0.004010695187165776,0.28365384615384615,748.0,0.00267379679144385,3335.0,0.00037979491074819596,0,0.5115321739130435,0.06088185907046477,0.37543625187406304
Ashburn,2.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.07639616384458651,42.0,6.0,0.05898876404494382,0.008426966292134831,0.5721153846153846,712.0,0.0028089887640449437,14233.0,0.00037979491074819596,0,0.575695903885337,0.32957880980819226,0.07735667814234526
Old Town,1.0,979.0,0.0,1.0,0.0,1.0,0.0,0.21071552213868006,84.0,25.0,0.023249377248823692,0.006919457514530861,0.47596153846153844,3613.0,0.0002767783005812344,11970.0,0.00018989745537409798,0,0.2534001253132832,0.026803450292397658,0.6365310693400167
Old Irving Park,1.0,1250.0,0.0,1.0,0.0,1.0,0.0,0.10113415050426686,40.0,16.0,0.014010507880910683,0.005604203152364273,0.375,2855.0,0.0003502626970227671,12890.0,0.00018989745537409798,0,0.04026369278510473,0.3409514662529093,0.5271665399534523
O'Hare,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.12075602097224598,56.0,24.0,0.014278429372768995,0.006119326874043855,0.4230769230769231,3922.0,0.00025497195308516065,17547.0,0.00018989745537409798,0,0.005708189434091298,0.08138928021884083,0.7768854106115005
North Park,1.0,1195.0,0.0,0.0,0.0,0.0,0.0,0.12782282269798378,16.0,3.0,0.018475750577367205,0.003464203233256351,0.25961538461538464,866.0,0.0011547344110854503,4811.0,0.00018989745537409798,0,0.014563167740594471,0.33965838702972356,0.39825136146331325
Princeton Park,1.0,1150.0,0.0,1.0,0.0,1.0,0.0,0.061599999999999995,3.0,1.0,0.024793388429752067,0.008264462809917356,0.5673076923076923,121.0,0.008264462809917356,641.0,0.00018989745537409798,0,1.0,0.0,0.0
Dearborn Park,1.0,2000.0,1.0,1.0,1.0,1.0,0.0,0.08109999999999999,3.0,1.0,0.009174311926605505,0.0030581039755351682,0.20673076923076922,327.0,0.0030581039755351682,1186.0,0.00018989745537409798,0,0.1341,0.0472,0.5497
Fuller Park,1.0,900.0,0.0,1.0,0.0,1.0,0.0,0.2913,4.0,2.0,0.027972027972027972,0.013986013986013986,0.7115384615384616,143.0,0.006993006993006993,500.0,0.00018989745537409798,0,0.988,0.012,0.0
Bucktown,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.015657085842319004,23.0,5.0,0.00571712652249565,0.0012428535918468805,0.09615384615384616,4023.0,0.00024857071836937607,14282.0,0.00018989745537409798,0,0.02332180366895393,0.14858838397983473,0.7377710054614199
Buena Park,1.0,1185.0,0.0,1.0,0.0,1.0,0.0,0.030964920828258222,63.0,15.0,0.013215859030837005,0.0031466331025802393,0.22115384615384615,4767.0,0.00020977554017201594,11494.0,0.00018989745537409798,0,0.09604766834870367,0.11064795545502,0.7110644075169653
Stateway Gardens,1.0,1900.0,1.0,1.0,1.0,1.0,0.0,0.1512,5.0,3.0,0.03597122302158273,0.02158273381294964,0.8653846153846154,139.0,0.007194244604316547,447.0,0.00018989745537409798,0,0.47869999999999996,0.022400000000000003,0.1991
